Date,BitCoin price $,LITECOIN price $,DogeCoin price $
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-01-23 23:05,389.82,3.11655,0.000171374
2016-03-04 05:58,422.919,3.33265,0.000241985
2016-03-04 05:58,422.919,3.33265,0.000241985
2016-03-04 05:58,422.919,3.33265,0.000241985
2016-03-04 05:58,422.919,3.33265,0.000241985
2016-03-04 05:58,422.919,3.33265,0.000241985
2016-03-04 05:58,422.919,3.33265,0.000241985
2016-03-04 05:59,422.919,3.33265,0.000241985
2016-03-04 05:59,422.919,3.33265,0.000241985
2016-03-04 05:59,422.919,3.33265,0.000241985
2016-03-04 05:59,422.919,3.33265,0.000241985
2016-03-04 05:59,422.919,3.33265,0.000241985
2016-03-04 05:59,422.919,3.33265,0.000241985
2016-03-04 05:59,422.919,3.33265,0.000241985
2016-03-04 06:00,422.919,3.33265,0.000241985
2016-03-04 06:00,422.919,3.33265,0.000241985
2016-03-04 06:00,422.919,3.33265,0.000241985
